fishid,diel_period,date,med.activ,mean.activ,sd.activ,tl_mm,weight_g,sex,lake,pit_id
T412067,night,2015-09-29,0.107888004754625,0.095075550925691,0.0429887187102529,1145,8200,F,Most,900108001617798
T412067,day,2015-09-29,0.128431755416439,0.108418952006955,0.04767883341875,1145,8200,F,Most,900108001617798
T412067,night,2015-09-30,0.0599281430484388,0.091079172879381,0.0686278145668965,1145,8200,F,Most,900108001617798
T412067,day,2015-10-01,0.038897664152545,0.0567551764589658,0.0538157759192696,1145,8200,F,Most,900108001617798
T412067,night,2015-10-01,0.0926447582435361,0.0900338966758057,0.00647003128591347,1145,8200,F,Most,900108001617798
T412067,night,2015-10-02,0.102542660117439,0.086577470405714,0.0638437149295631,1145,8200,F,Most,900108001617798
T412067,night,2015-10-03,0.127483189763899,0.141392714876386,0.0922409351837023,1145,8200,F,Most,900108001617798
T412067,day,2015-10-03,0.000616869617250025,0.0101614499641596,0.0284664997486961,1145,8200,F,Most,900108001617798
T412067,night,2015-10-04,0.170999883024226,0.16841593149104,0.0941526592577737,1145,8200,F,Most,900108001617798
T412067,day,2015-10-04,0.000105554740334825,0.00936746188722027,0.037309782160366,1145,8200,F,Most,900108001617798
T412067,night,2015-10-05,0.0133563874398212,0.0482162964910019,0.0549281536221902,1145,8200,F,Most,900108001617798
T412067,night,2015-10-06,0.0336500673184669,0.0530792494941162,0.041993841563477,1145,8200,F,Most,900108001617798
T412067,night,2015-10-07,0.0580407007629948,0.0721248695695363,0.0516146614291258,1145,8200,F,Most,900108001617798
T412067,night,2015-10-08,0.114463537540634,0.108347225352543,0.0667560645831136,1145,8200,F,Most,900108001617798
T412067,day,2015-10-08,0.099305765525724,0.0906147000044248,0.0622701787876339,1145,8200,F,Most,900108001617798
T412067,night,2015-10-09,0.0909382788309783,0.105760926874854,0.0753244788532687,1145,8200,F,Most,900108001617798
T412067,night,2015-10-10,0.115139516314087,0.108040456626994,0.0273006814256636,1145,8200,F,Most,900108001617798
T412067,night,2015-10-11,0.120993539943124,0.120546042999783,0.0492201849545659,1145,8200,F,Most,900108001617798
T412067,day,2015-10-11,0.0275505758315827,0.0256195326678596,0.0067659995470548,1145,8200,F,Most,900108001617798
T412067,night,2015-10-12,0.0974576001894786,0.105582852956657,0.0538229013937115,1145,8200,F,Most,900108001617798
T412067,day,2015-10-12,0.00040119980863556,0.00244521111557529,0.00781566878026836,1145,8200,F,Most,900108001617798
T412067,night,2015-10-13,0.0237317945971839,0.0335376941346857,0.0214647745995869,1145,8200,F,Most,900108001617798
T412067,night,2015-10-14,0.0659724993109657,0.0720611715340969,0.050274412301046,1145,8200,F,Most,900108001617798
T412067,day,2015-10-14,0.000682131285382135,0.0205322714047394,0.0439272817314478,1145,8200,F,Most,900108001617798
T412067,night,2015-10-15,0.077681375090598,0.0790409744569121,0.0427074489764994,1145,8200,F,Most,900108001617798
T412067,day,2015-10-15,0.00043359324859255,0.0108503588806885,0.0200167496539363,1145,8200,F,Most,900108001617798
T412067,night,2015-10-16,0.00070496747101316,0.0245801136676059,0.0385442378493954,1145,8200,F,Most,900108001617798
T412067,day,2015-10-16,0.00284152795666494,0.00710022643627243,0.0131484930829306,1145,8200,F,Most,900108001617798
T412067,night,2015-10-17,0.00043856928531229,0.0129362899714853,0.0197539074682271,1145,8200,F,Most,900108001617798
T412067,day,2015-10-17,0.000555753904494155,0.00178777019182096,0.00440087007258778,1145,8200,F,Most,900108001617798
T412067,night,2015-10-18,0.0512745509667145,0.0655211743041515,0.0466463363739945,1145,8200,F,Most,900108001617798
T412067,day,2015-10-18,0.00028652801542101,0.000895935043747503,0.00230247737062939,1145,8200,F,Most,900108001617798
T412067,night,2015-10-19,0.0376623047293482,0.0476738491619118,0.045898816350167,1145,8200,F,Most,900108001617798
T412067,day,2015-10-19,0.00036731239185487,0.000642045437974511,0.000916273723959749,1145,8200,F,Most,900108001617798
T412067,night,2015-10-20,0.179162663495551,0.163640098252686,0.0410596714808049,1145,8200,F,Most,900108001617798
T412067,night,2015-10-21,0.0547972585889302,0.0572444023337966,0.0297835316488212,1145,8200,F,Most,900108001617798
T412067,night,2015-10-25,,,,1145,8200,F,Most,900108001617798
T412067,night,2015-10-26,,,,1145,8200,F,Most,900108001617798
T412067,night,2015-10-27,,,,1145,8200,F,Most,900108001617798
T412067,night,2015-10-28,,,,1145,8200,F,Most,900108001617798
T412067,night,2015-10-29,,,,1145,8200,F,Most,900108001617798
T412067,night,2015-10-30,0.0950350281201133,0.101852967263956,0.0738748506664046,1145,8200,F,Most,900108001617798
T412067,night,2015-10-31,0.0777870363442933,0.0806137996096227,0.0623438557618788,1145,8200,F,Most,900108001617798
T412067,day,2015-10-31,0.000388025567279995,0.000427575825953628,0.000253826165208242,1145,8200,F,Most,900108001617798
T412067,night,2015-11-01,0.0397956341721103,0.0593954049209883,0.0443190150019688,1145,8200,F,Most,900108001617798
T412067,night,2015-11-05,0.135747786953123,0.135848005871406,0.0730371893228802,1145,8200,F,Most,900108001617798
T412067,night,2015-11-06,0.0911658765944307,0.103995784390599,0.0660465693952628,1145,8200,F,Most,900108001617798
T412067,day,2015-11-06,0.00040751340852642,0.00875156534444695,0.0355011740896507,1145,8200,F,Most,900108001617798
T412067,night,2015-11-07,0.0687154065144014,0.0745591508611959,0.0477557889226849,1145,8200,F,Most,900108001617798
T412067,day,2015-11-07,0.00068582997424755,0.00198404334419521,0.00826445675729411,1145,8200,F,Most,900108001617798
T412067,night,2015-11-08,0.111145283514429,0.120907288249472,0.0789236488763632,1145,8200,F,Most,900108001617798
T412067,day,2015-11-08,0.111704563519156,0.102988731340471,0.0752897101281898,1145,8200,F,Most,900108001617798
T412067,night,2015-11-09,0.110111633558384,0.114795460760808,0.0621380108205854,1145,8200,F,Most,900108001617798
